Marca,Modelo,Estado,Tienda,Año,Precio,Almacenamiento (GB)
Asus,Convertible,Nuevo,PCWorld,2019,3950,512
MSI,Convertible,Certificado,ComputoMx,2001,800,768
Asus,Desktop,Certificado,TechStore,2000,4750,1152
Acer,Gaming,Nuevo,ComputoMx,2006,3300,1920
Apple,Desktop,Usado,ComputoMx,2013,3600,1408
Acer,Workstation,Nuevo,ElectroShop,2014,350,512
Asus,Workstation,Certificado,ComputoMx,2019,2900,640
Lenovo,Desktop,Usado,PCWorld,2013,550,896
Asus,Gaming,Usado,PCWorld,2014,2550,768
Apple,All-in-One,Usado,PCWorld,2021,1100,1152
Asus,Workstation,Usado,ComputoMx,2011,1200,1152
Samsung,Workstation,Nuevo,ComputoMx,2004,2900,1024
Sony,Convertible,Nuevo,TechStore,2004,1250,1408
Lenovo,Gaming,Usado,ComputoMx,2014,800,640
Acer,Laptop,Nuevo,PCWorld,2004,4750,1920
Sony,Laptop,Usado,PCWorld,2018,750,1408
Sony,Laptop,Nuevo,ComputoMx,2016,2550,1664
Sony,Desktop,Certificado,ElectroShop,2017,1900,768
Toshiba,Convertible,Nuevo,TechStore,2000,3800,896
Dell,Workstation,Certificado,ComputoMx,2022,900,1920
Asus,Gaming,Certificado,ComputoMx,2008,1300,128
Asus,Workstation,Certificado,ElectroShop,2006,950,1792
MSI,Convertible,Nuevo,TechStore,2003,650,1152
MSI,All-in-One,Usado,GadgetPlus,2019,1400,1920
MSI,Workstation,Certificado,GadgetPlus,2006,3750,640
Lenovo,Desktop,Nuevo,GadgetPlus,2006,4500,1920
Sony,Desktop,Usado,TechStore,2020,2650,1152
Sony,Workstation,Certificado,ComputoMx,2001,1850,1280
Apple,Laptop,Nuevo,TechStore,2004,3850,256
Acer,Convertible,Nuevo,PCWorld,2010,1450,128
Samsung,Convertible,Usado,TechStore,2007,1300,256
Sony,Desktop,Certificado,ComputoMx,2006,3800,1920
Sony,Workstation,Usado,TechStore,2022,4700,768
Apple,Desktop,Nuevo,ComputoMx,2005,4450,1792
Toshiba,Laptop,Usado,PCWorld,2019,650,1792
Dell,Desktop,Nuevo,GadgetPlus,2024,3700,1152
MSI,Laptop,Certificado,ComputoMx,2003,3700,1536
Toshiba,Desktop,Certificado,GadgetPlus,2021,2300,1408
Acer,Workstation,Nuevo,GadgetPlus,2009,1800,768
Samsung,Workstation,Usado,ElectroShop,2017,2050,1280
Toshiba,Desktop,Usado,GadgetPlus,2020,2700,1408
Toshiba,Convertible,Certificado,GadgetPlus,2014,1650,1152
HP,Convertible,Nuevo,ElectroShop,2014,3650,768
Acer,Gaming,Usado,PCWorld,2014,350,1024
Asus,Laptop,Usado,ElectroShop,2019,450,1920
Apple,All-in-One,Usado,TechStore,2006,2400,128
Asus,Gaming,Nuevo,PCWorld,2022,1500,128
Dell,Gaming,Nuevo,ElectroShop,2018,4600,1920
Samsung,Convertible,Certificado,GadgetPlus,2003,1450,1408
Lenovo,Desktop,Usado,PCWorld,2001,1050,1152
Lenovo,Convertible,Certificado,GadgetPlus,2005,900,1152
Asus,Convertible,Usado,TechStore,2001,1850,1536
Samsung,Convertible,Nuevo,TechStore,2016,2400,768
Apple,Gaming,Usado,ComputoMx,2011,2550,512
Acer,All-in-One,Certificado,PCWorld,2019,3950,1664
Acer,All-in-One,Certificado,GadgetPlus,2007,3950,1920
Dell,Workstation,Certificado,ElectroShop,2010,4750,1664
Samsung,Desktop,Certificado,ElectroShop,2013,4950,1920
Asus,Gaming,Nuevo,ComputoMx,2005,4350,512
Sony,Convertible,Usado,GadgetPlus,2023,2250,768
MSI,Laptop,Usado,PCWorld,2015,2150,768
Sony,All-in-One,Certificado,PCWorld,2002,2350,896
Toshiba,Desktop,Certificado,GadgetPlus,2017,2950,1920
Lenovo,Workstation,Certificado,PCWorld,2021,1450,512
Dell,All-in-One,Usado,ComputoMx,2018,4800,768
Lenovo,Laptop,Nuevo,GadgetPlus,2002,3250,1152
Samsung,All-in-One,Nuevo,GadgetPlus,2013,700,128
MSI,Workstation,Nuevo,GadgetPlus,2010,4500,1664
Lenovo,All-in-One,Nuevo,GadgetPlus,2008,4300,1280
Toshiba,Workstation,Usado,PCWorld,2022,2200,128
Samsung,Workstation,Nuevo,ElectroShop,2012,350,896
Samsung,Gaming,Certificado,PCWorld,2012,2700,1792
Samsung,Laptop,Certificado,ComputoMx,2024,3600,1152
HP,Gaming,Nuevo,PCWorld,2014,250,1024
MSI,Laptop,Usado,TechStore,2004,3750,640
Toshiba,All-in-One,Nuevo,ComputoMx,2007,950,384
Apple,Convertible,Certificado,TechStore,2001,4850,1792
Apple,Workstation,Usado,GadgetPlus,2009,3150,1664
Toshiba,All-in-One,Certificado,ElectroShop,2019,2750,512
HP,Laptop,Nuevo,GadgetPlus,2014,2850,896
Toshiba,Workstation,Nuevo,PCWorld,2014,4650,128
Toshiba,Convertible,Certificado,ElectroShop,2010,1150,1792
Toshiba,Laptop,Nuevo,PCWorld,2013,350,1280
Sony,All-in-One,Usado,ComputoMx,2015,4700,256
Toshiba,Gaming,Usado,TechStore,2021,4700,1536
Toshiba,Workstation,Usado,PCWorld,2020,3300,1792
MSI,All-in-One,Usado,ComputoMx,2023,1800,1920
Sony,Convertible,Usado,TechStore,2022,900,1408
Sony,Workstation,Usado,ComputoMx,2015,2450,1664
Toshiba,Workstation,Usado,PCWorld,2015,4750,1280
Sony,Convertible,Certificado,ComputoMx,2021,2600,1536
Samsung,Desktop,Nuevo,ComputoMx,2022,3150,512
HP,Laptop,Usado,ElectroShop,2002,3300,128
Asus,Workstation,Usado,GadgetPlus,2004,1300,896
Samsung,Convertible,Nuevo,ElectroShop,2009,2650,1280
Sony,All-in-One,Certificado,PCWorld,2024,4300,1536
MSI,Gaming,Certificado,PCWorld,2001,2000,1024
Asus,Convertible,Nuevo,PCWorld,2006,3550,1920
Sony,All-in-One,Nuevo,ElectroShop,2012,3500,1024
Sony,Workstation,Usado,TechStore,2012,500,1920
Toshiba,All-in-One,Usado,ElectroShop,2020,3300,1280
Acer,Desktop,Nuevo,ElectroShop,2020,500,896
HP,Convertible,Nuevo,ElectroShop,2009,4250,1664
Apple,Laptop,Usado,GadgetPlus,2008,1900,384
Toshiba,Convertible,Certificado,TechStore,2014,3400,768
Lenovo,Desktop,Certificado,PCWorld,2021,2250,1664
Sony,Gaming,Usado,ComputoMx,2006,4950,256
Dell,Laptop,Usado,PCWorld,2006,4450,640
Samsung,Convertible,Usado,ElectroShop,2020,1450,640
HP,Laptop,Usado,GadgetPlus,2017,2900,128
Toshiba,All-in-One,Nuevo,PCWorld,2014,3750,1024
Apple,Desktop,Certificado,ComputoMx,2002,4600,1664
Apple,Desktop,Certificado,TechStore,2015,2500,256
HP,Convertible,Usado,ComputoMx,2017,2700,1024
Asus,Gaming,Certificado,PCWorld,2003,1200,128
Apple,All-in-One,Nuevo,ElectroShop,2001,4150,128
Sony,Laptop,Nuevo,PCWorld,2010,2450,1792
HP,Desktop,Certificado,TechStore,2001,2400,896
HP,All-in-One,Nuevo,ElectroShop,2017,1500,1024
Asus,Gaming,Certificado,PCWorld,2000,3750,1664
Toshiba,Gaming,Certificado,GadgetPlus,2022,1750,1920
MSI,Desktop,Certificado,GadgetPlus,2023,850,128
Asus,Desktop,Nuevo,GadgetPlus,2001,3000,1536
Asus,All-in-One,Usado,ElectroShop,2007,4100,128
Lenovo,Laptop,Usado,TechStore,2019,1750,1024
MSI,Desktop,Usado,TechStore,2015,1000,1792
Acer,All-in-One,Usado,ElectroShop,2021,3050,1792
Dell,All-in-One,Usado,GadgetPlus,2007,2900,384
Apple,Laptop,Nuevo,ElectroShop,2012,2250,896
Lenovo,Laptop,Certificado,ComputoMx,2010,4350,256
HP,Workstation,Nuevo,PCWorld,2019,1000,1792
Sony,All-in-One,Nuevo,ElectroShop,2012,1200,1408
Asus,Laptop,Nuevo,GadgetPlus,2017,2950,256
MSI,All-in-One,Usado,GadgetPlus,2006,4400,1280
Lenovo,Gaming,Nuevo,TechStore,2023,2300,1280
Dell,Laptop,Certificado,ComputoMx,2005,2750,384
Toshiba,Laptop,Usado,ComputoMx,2019,900,1152
Dell,Gaming,Nuevo,ElectroShop,2022,2250,1024
Asus,Convertible,Nuevo,PCWorld,2024,200,512
MSI,Desktop,Nuevo,ElectroShop,2020,3700,640
Dell,Convertible,Nuevo,GadgetPlus,2016,2200,384
Lenovo,Laptop,Usado,ElectroShop,2004,3800,1536
Dell,Workstation,Usado,TechStore,2014,300,1024
Asus,Laptop,Nuevo,GadgetPlus,2008,4350,1024
Toshiba,Laptop,Usado,GadgetPlus,2023,750,1536
Dell,Gaming,Usado,PCWorld,2011,2750,1024
Sony,Desktop,Usado,GadgetPlus,2002,3300,1536
Samsung,Workstation,Certificado,TechStore,2001,3800,128
HP,Convertible,Nuevo,TechStore,2017,4950,640
Samsung,All-in-One,Usado,ComputoMx,2014,2450,1408
Asus,Workstation,Nuevo,TechStore,2012,250,1664
HP,Workstation,Certificado,ComputoMx,2009,1350,1408
Dell,Laptop,Certificado,ComputoMx,2022,3400,1280
MSI,Convertible,Nuevo,PCWorld,2001,3400,640
Sony,Gaming,Nuevo,ElectroShop,2001,2200,1408
Toshiba,Laptop,Certificado,ElectroShop,2005,2150,128
Lenovo,Workstation,Nuevo,ElectroShop,2000,4050,1280
Sony,Convertible,Certificado,ElectroShop,2024,3800,256
Dell,Workstation,Certificado,ComputoMx,2016,4550,128
Toshiba,Gaming,Usado,TechStore,2014,1100,384
Lenovo,Laptop,Nuevo,ElectroShop,2000,850,256
MSI,Convertible,Nuevo,PCWorld,2008,3600,1408
Sony,Desktop,Usado,ComputoMx,2008,2350,1664
Acer,All-in-One,Nuevo,ComputoMx,2001,4700,1792
Sony,Convertible,Nuevo,PCWorld,2001,1350,640
Toshiba,Convertible,Usado,GadgetPlus,2019,4650,512
Apple,All-in-One,Certificado,TechStore,2010,2700,1024
HP,All-in-One,Usado,GadgetPlus,2016,1250,1920
HP,All-in-One,Usado,ElectroShop,2010,2800,512
Toshiba,Convertible,Usado,GadgetPlus,2009,3150,1792
Asus,Gaming,Usado,GadgetPlus,2006,4400,1536
Toshiba,Desktop,Certificado,GadgetPlus,2017,1600,1024
Dell,Gaming,Certificado,GadgetPlus,2004,3000,384
Acer,Workstation,Certificado,PCWorld,2004,2450,1280
Lenovo,Gaming,Usado,PCWorld,2006,650,1920
Toshiba,Gaming,Certificado,PCWorld,2009,3700,1024
Sony,Convertible,Nuevo,GadgetPlus,2012,3500,1024
Acer,Workstation,Nuevo,ElectroShop,2019,4050,640
Sony,Convertible,Certificado,PCWorld,2009,2850,1408
MSI,Gaming,Certificado,TechStore,2006,3400,1920
