id,marca,modelo,precio,almacenamiento,tipo_almacenamiento,ram,procesador,generacion_procesador,estado,tienda,anio,sistema_operativo,pantalla,tipo,rating,stock
1,LG,Gram,1162.62,256,HDD,16,Intel i9-54,0,Nuevo,BestBuy,2015,Windows,19.1,Laptop,,12
2,Toshiba,Portege,795.97,256,SSD,16,AMD Ryzen 7 8xxx,8,Nuevo,B&H,2023,Windows,23.2,Laptop,3.8,22
3,Acer,Spin,594.39,4096,SSD,16,Intel i9-446,4,Usado,Walmart,2019,macOS,14.6,Laptop,3.2,4
4,Dell,Alienware,473.87,512,SSD,16,Intel i5-477,4,Usado,Newegg,2019,Windows,18.4,Laptop,4.9,9
5,Lenovo,ThinkBook,590.33,128,SSD,8,AMD Ryzen 9 5xxx,5,Usado,B&H,2020,Windows,25.2,Laptop,3.3,3
6,Lenovo,ThinkBook,632.5,512,SSD,128,AMD Ryzen 7 8xxx,8,Usado,Amazon,2023,macOS,,Desktop,3.3,7
7,Samsung,Galaxy Book,894.1,4096,SSD,4,Intel i9-668,6,Certificado,MicroCenter,2021,macOS,15.7,Laptop,3.0,5
8,Razer,Blade 15,1350.79,512,SSD,8,Intel i9-899,8,Usado,BestBuy,2023,Windows,12.8,Laptop,5.0,5
9,Lenovo,ThinkPad,489.55,512,HDD,16,Intel i5-384,3,Usado,Frys,2018,Linux,19.4,Laptop,4.9,9
10,Toshiba,Portege,802.04,1024,SSD,32,Intel i5-328,3,Nuevo,Amazon,2018,Windows,14.7,Laptop,3.1,40
11,Apple,MacBook Pro,639.97,256,SSD,8,AMD Ryzen 9 1xxx,1,Usado,Frys,2016,macOS,18.6,Laptop,3.2,7
12,Acer,Swift,559.59,4096,HDD,16,AMD Ryzen 5 6xxx,6,Usado,Walmart,2021,Windows,13.2,Laptop,3.9,2
13,MSI,Creator,741.0,4096,SSD,32,AMD Ryzen 7 1xxx,1,Certificado,Frys,2016,Windows,11.9,Laptop,5.0,5
